Dataset,File,date,processing_timestamp,Units,HCHO_Mean (molecules/cm²),HCHO_Min (molecules/cm²),HCHO_Max (molecules/cm²),HCHO_Mean (DU),HCHO_Min (DU),HCHO_Max (DU),Min_Lat,Min_Lon,Max_Lat,Max_Lon
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0604_v003-2025m0605t071648.nc,6/4/2025,6/5/2025,molecules/cm²,1.225E+15,-9.93E+18,3.02E+17,0.05,-369.14,11.24,-2.25,116.37,-14.25,-70.14
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0603_v003-2025m0604t071552.nc,6/3/2025,6/4/2025,molecules/cm²,715400000000000,-9.97E+18,6.07E+18,0.03,-370.46,225.75,51.25,85.07,21.05,17.96
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0602_v003-2025m0603t082640.nc,6/2/2025,6/3/2025,molecules/cm²,945700000000000,-9.92E+18,8.58E+17,0.04,-368.74,31.9,9.05,13.16,-16.35,-73.74
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0601_v003-2025m0602t071617.nc,6/1/2025,6/2/2025,molecules/cm²,448400000000000,-9.97E+18,9.30E+18,0.02,-370.61,345.61,48.45,8.06,21.65,-79.04
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0531_v003-2025m0601t071655.nc,5/31/2025,6/1/2025,molecules/cm²,825100000000000,-9.98E+18,3.90E+18,0.03,-371.14,144.91,32.75,73.47,-32.55,-48.34
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0530_v003-2025m0531t061548.nc,5/30/2025,5/31/2025,molecules/cm²,1.417E+15,-9.89E+18,9.91E+18,0.05,-367.54,368.45,31.95,87.17,-2.75,137.67
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0529_v003-2025m0530t071525.nc,5/29/2025,5/30/2025,molecules/cm²,1.379E+15,-9.90E+18,6.23E+18,0.05,-368.12,231.6,33.25,69.37,44.85,-114.85
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0528_v003-2025m0531t064253.nc,5/28/2025,5/31/2025,molecules/cm²,726200000000000,-9.88E+18,1.53E+18,0.03,-367.41,57.04,15.45,-90.14,34.35,-116.75
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0527_v003-2025m0529t071654.nc,5/27/2025,5/29/2025,molecules/cm²,1.066E+15,-9.87E+18,2.19E+17,0.04,-366.73,8.14,29.55,88.27,-29.15,-60.44
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0526_v003-2025m0527t071759.nc,5/26/2025,5/27/2025,molecules/cm²,1.257E+15,-9.94E+18,5.91E+18,0.05,-369.49,219.66,10.45,79.87,4.25,-70.64
